idx	C3L-00102	C3L-00819	C3L-01637	C3L-02606	C3L-02610	C3L-02809	C3L-02899	C3L-03123	C3L-04072	C3N-00436	C3N-00518	C3N-02010	C3N-02589	C3N-02768	C3N-03780
ENSG00000000003.15	10.0917	10.1542	10.2817	10.2617	10.4517	10.1417	9.7818	10.8218	10.3617	9.9517	9.0319	10.9317	10.5917	10.5517	10.8918
ENSG00000000005.6	4.9145	6.4053	3.5162	0	2.583	8.6617	2.4739	3.7326	0.8857	3.0983	2.1869	1.6417	3.0125	2.1636	2.3597
ENSG00000000419.12	9.3718	9.5343	9.2216	9.2816	9.5415	10.1217	9.6318	9.8913	9.8318	9.4616	9.3318	9.4916	9.9318	9.6818	10.0115
ENSG00000000457.14	10.2117	10.0242	10.2117	9.9017	10.1616	9.9517	9.8418	10.3316	10.3317	10.1117	9.8018	10.5917	10.3617	10.1218	10.3917
ENSG00000000460.17	8.132	8.3345	8.3116	8.0315	7.7102	8.3818	8.452	8.2388	8.4822	8.0714	8.0122	8.3815	8.652	8.682	8.1802
ENSG00000000938.13	9.3218	9.1243	9.3717	9.3917	8.8712	8.7317	9.4818	7.0542	9.4419	9.0416	8.762	9.7317	8.702	9.3919	8.07
ENSG00000000971.16	12.4917	13.3041	12.1717	12.8917	13.1919	13.7517	14.1616	11.8821	12.4216	13.3318	13.5116	12.9818	13.1316	13.4316	12.932
ENSG00000001036.14	10.6617	10.8142	10.6317	10.7917	10.9018	10.5117	10.7817	10.8218	10.8617	10.9617	10.8617	10.8317	10.7017	10.7717	10.9518
ENSG00000001084.13	10.5417	10.2242	10.9117	10.4617	10.3317	10.5017	10.9817	10.7718	10.6417	10.4117	10.1017	10.8417	10.5817	11.2617	10.9018
ENSG00000001167.14	10.3017	9.9842	10.2917	10.0817	10.2316	9.5717	10.1117	10.3616	10.2317	10.1517	10.0318	9.9117	10.3917	10.3517	9.7014
ENSG00000001460.18	7.5821	7.5647	7.6214	7.6614	7.7503	7.2818	7.0026	7.5567	7.4928	7.5111	7.3526	7.6913	7.3526	7.1729	7.6093
ENSG00000001461.17	10.7917	10.5342	10.8817	10.9017	11.1318	10.0717	10.2117	11.5121	10.9117	10.6417	10.2517	10.7117	10.6217	10.5417	11.2118
ENSG00000001497.16	9.5818	9.5043	9.5617	9.4217	9.7015	9.4217	9.1818	9.4609	9.4019	9.6716	9.6518	9.3716	9.2719	9.2519	9.4913
ENSG00000001561.7	10.3517	10.4242	10.0317	10.0417	10.1516	10.5417	10.1017	10.5417	10.7817	9.3116	10.0118	10.8017	11.0117	10.2617	10.8518
ENSG00000001617.12	8.4119	8.3644	8.2115	8.2815	7.7603	8.9617	7.9721	6.8732	7.9924	8.5315	8.552	7.6513	7.7624	7.8224	7.8798
ENSG00000001626.16	15.7017	15.7141	16.0817	15.9717	16.2119	11.0017	13.9616	15.8924	15.8216	15.1618	8.682	16.1018	16.0416	15.8216	15.4421
ENSG00000001629.10	11.4417	11.5642	11.4317	11.4117	11.3518	11.7617	11.9917	11.4721	11.5416	11.5217	11.4717	11.4617	11.7516	11.8316	11.8919
ENSG00000001630.17	11.9117	12.0142	11.1017	11.5317	11.5418	11.3817	11.5117	11.8121	12.7516	11.2417	11.5817	11.4217	11.6816	11.4217	12.0819
ENSG00000001631.15	10.5717	10.7242	10.5317	10.5117	10.8718	10.9217	11.0617	11.1019	10.7617	10.4517	10.6817	10.9517	11.0417	11.1217	11.0018
ENSG00000002016.18	8.8018	8.5944	8.7716	8.8716	9.0313	8.5517	8.492	9.1205	8.2623	8.9215	8.532	8.9516	8.532	8.752	8.971
ENSG00000002079.14	3.9472	2.4924	2.8631	2.6316	1.1699	3.1537	3.9695	3.0023	3.1073	3.6828	4.2301	3.4028	3.1605	2.1636	4.2436
ENSG00000002330.13	9.4418	9.3443	9.2416	9.5517	9.7115	9.0317	8.252	8.8901	8.6421	9.8017	9.6418	8.9116	8.652	8.642	8.6908
ENSG00000002549.12	11.5717	11.5142	11.2117	11.1617	11.0418	11.5717	11.5817	10.3816	11.9116	12.0418	11.6017	11.1117	11.2617	11.6816	11.1018
ENSG00000002586.20	10.9317	11.7842	10.5917	10.9517	10.7117	11.7217	11.5617	10.6618	10.7917	11.1317	12.0416	10.4617	10.9317	11.4417	10.4817
ENSG00000002586.20_PAR_Y	10.9317	11.7842	10.5917	10.9517	10.7117	11.7217	11.5617	10.6618	10.7917	11.1317	12.0416	10.4617	10.9317	11.4417	10.4817
ENSG00000002587.10	9.0818	8.5044	7.7715	8.1715	8.2508	7.6218	8.242	6.6315	8.3422	8.7915	8.0422	7.1511	7.7724	8.1322	8.5606
ENSG00000002726.20	10.0517	7.1449	7.5314	7.4014	6.6183	3.9828	6.3032	7.2855	7.4928	8.2714	8.9819	5.9202	5.256	5.9745	8.7708
