idx	C3L-03123	C3N-03884	C3L-03630	C3L-03356	C3L-02610	C3L-03388	C3N-02768	C3L-01971	C3N-00249	C3L-01637	C3L-01598	C3L-02809	C3L-02606	C3N-02589	C3L-04479	C3L-01051	C3N-00436	C3L-00277	C3L-04848	C3L-01037	C3N-03780	C3N-04282	C3L-00819	C3N-03061	C3L-01124	C3N-02010	C3L-04072	C3N-00518	C3L-00102	C3L-00928	C3N-03840	C3N-02585	C3N-03426	C3N-02944	C3N-02592	C3N-04119	C3L-04853	C3L-03639	C3N-00514	C3N-02573	C3N-00709	C3L-01031	C3N-03839	C3L-02899
ENSG00000000003.15	23.2791762197143	23.7417941216897	23.6677663819062	23.2238113821068	23.0916408932598	23.5763163938957	22.5434652598899	22.9519981941393	22.6698280066857	21.9138020208636	23.6522041757092	22.7847973596727	22.9286345883138	22.7645551730544	23.5729840444746	22.3947233205157	23.8807985515427	22.649653209524	23.3729206269424	23.6318270449066	23.1286174102719	21.3609058463244	22.5375998854664	23.9605774110649	24.0590052438535	22.5074192622948	23.1405204521921	21.5028939741137	22.2918253758144	23.7167371280156	24.134666001492	24.2753969907075	22.2858496958701	23.9277877481081	23.1152365124119	23.8189448562032	22.4732401759588	23.2741712093551	22.7349809941268	23.8383184959776	23.6033290213266	23.653525449284	24.043288664383	21.2347005216067
ENSG00000000419.12	26.1928830489845	26.1859058998962	26.4510336639466	25.751077076584	25.321390983477	25.5046682565362	24.8897504633779	24.7236797698731	25.7999095579183	25.3076057311777	25.4321122699484	25.1409265884072	24.5727591242105	25.0379403999516	26.8075255848124	25.1524048762615	24.5924079243869	25.5511117739364	26.9350757748312	26.259728856964	26.5189161803267	24.2990140456101	25.252073817812	26.5978762157198	25.6261490704788	25.3055711825944	24.774054695539	25.0836499447771	24.2854541677019	25.6869048650376	26.0623874400933	26.5471288455577	25.2134171493043	26.5972121718276	26.4133059399723	26.6182234420297	25.6560721700141	26.6649068337584	26.0635266030684	26.1492369224069	25.9935887080383	25.4486663574141	25.9518507069283	25.2292763189918
ENSG00000000457.14	22.466849506441	22.6204969112995	23.4625877793143	23.4469719072882	23.3337528209484	22.4950885414384	23.0072193416284	23.2028004635558	23.6011376294613	22.9512861809808	23.2097926400984	22.2999792270819	23.1997141230431	22.7161631266417	23.199697082229	22.8954596470494	22.9712007737905	23.5317622378808	22.9066706801174	23.1656106364753	23.0279636139584	22.1036164862959	22.559743166832	23.3031894887783	23.497809561239	22.8599832602452	22.5554048592703	22.5188584712999	22.6111454529132	23.8106271974091	23.7356663537805	23.7415432836049	22.8537811886618	23.2339593480081	23.124825039475	23.3752219920289	22.5838269838589	23.4909429990233	22.8744054241648	24.1520588931171	23.7888355725904	22.8682485652762	23.3296441014115	22.601477163549
ENSG00000000460.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.0706464523229	NA	NA	NA	NA	NA	14.4137080621078	19.3186593668754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.1925017209305	NA	16.2128792169639	17.9442316700901	NA	NA	NA	NA	NA	NA	NA
ENSG00000000938.13	22.0195965486307	21.9405591859556	22.1666791841049	22.1083766272135	22.1325293133017	21.9381486097437	22.0253192609697	21.2018420392514	NA	NA	21.2934550065844	21.8014912931819	22.1032392686782	22.612208765749	21.1424552294888	NA	22.0147247406914	NA	NA	20.3321620503225	20.9469754861856	22.3737318803396	21.0999862535829	20.9643021766653	21.8956699160787	21.4955767323575	22.6221874736929	21.9115680177903	22.2648575911505	21.2841394040287	21.4865064231311	21.8143726193994	21.8592224284352	20.6554662060628	20.786053208485	20.7894511057385	22.72177026643	21.7027849409556	21.8335424543202	21.1002938612692	21.4863522457852	21.9728525228914	20.8881243979599	21.7118007846605
ENSG00000000971.16	28.1047512941628	27.7317755596883	27.5425551834285	28.087341144505	28.7188132086991	28.006053242236	28.6721930584884	28.3616563417584	28.1583708795235	28.5159241107996	28.1609937373918	29.4879252045598	28.2615532021241	28.5941709436637	27.444015313108	27.8016271642481	28.7552007586423	28.4503065707246	27.8693296574338	28.1991279367916	28.2974941395597	28.9113660798072	28.5827007469013	27.4846600794367	28.3715832282764	28.6743004029276	28.0842564286454	30.0507016155563	28.573657433674	27.7875730301768	27.4032650535237	27.7680059330997	29.3445293780495	27.2499553509053	27.9429222940895	27.2061964798027	28.2487366017137	27.7111232769456	28.3834060543542	27.9022822278553	27.9492598921403	27.8112120508	27.8099988654561	29.7529122079052
ENSG00000001036.14	24.2023233262889	25.1285002101097	25.2255476383995	25.1386807696835	25.7592469185633	25.2800992783877	24.7043333815744	25.239760234204	25.0540735186866	24.1356890474091	24.7674085475673	25.0929994673579	24.7692691767993	24.6587461792645	24.8364667742577	24.7866351541329	25.2641893752572	25.600986535866	24.7977808470293	25.1221510662367	25.0438027139501	23.7866668297641	24.169178979399	25.0592907415643	24.9502828086755	24.8969609078848	25.1324378268527	25.0030143948063	24.8580601943383	25.100666586763	25.3119781856389	25.1934257923591	24.7226386758144	24.8993275030147	25.1034258951425	25.3127212880552	25.2078505125032	25.3363204894237	24.983942240233	24.9636715881068	25.4530968362059	25.0151807708078	25.2470222971548	25.0098999101047
ENSG00000001084.13	25.5455611619529	25.8660127012632	26.0110159613854	25.7824713014413	25.3293442101503	25.3500011935345	25.3492520022328	25.8311403887149	25.5723235529099	25.3179314420137	25.7425379024667	25.6739156693091	25.5548482406891	25.5915141726452	26.2451990481579	25.5319893059125	25.0693955132202	25.2220980085678	25.9354150078894	25.7920236579163	25.7232238204652	25.829466917136	24.9428426248215	26.0507792139819	25.4053908937967	25.4085203492153	25.4979844463993	25.839504846405	25.4519863169063	25.9879950517852	25.7814149778991	26.0183238334276	25.6422346908795	26.1604506773698	25.9431884599049	25.9708945800565	25.5221660214389	25.7565541632656	25.4700604726033	25.7466395372986	25.1441673970883	25.7865077128983	25.4533588592424	25.5807105510676
ENSG00000001167.14	20.3480432373645	20.2016673236714	20.3653159416196	20.3121286177191	20.4273913707827	19.2075612386113	20.1421101549759	19.5593657683405	19.592193934058	20.2278481845757	20.2912192398644	20.5725214732971	19.6907326355964	20.3197763719563	20.6079953279564	20.385208542843	NA	NA	NA	NA	NA	21.4744729017713	21.1047189546431	20.6644050813113	20.0594944661903	20.5377084218778	19.3466267229378	20.8185981209086	20.2537966504597	20.7559666312586	20.7562265726471	NA	NA	20.7591400792987	21.0556873233894	20.3947419864019	19.8642569299751	19.6308028792294	19.7596440944911	18.6051668332184	18.6140491587816	20.4300769398197	22.7767798355797	21.4493185862962
ENSG00000001461.17	NA	NA	21.5975516899731	21.6661400448443	20.1128436026025	NA	NA	NA	NA	NA	21.2910202552181	21.2188644505433	21.670183481557	20.953547339484	21.01641665459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
