idx	C3N-03884	C3L-03123	C3L-01687	C3L-00589	C3L-00599	C3L-03356	C3L-03630	C3L-02890	C3N-04126	C3L-02610	C3N-03853	C3N-03000	C3N-04283	C3L-01689	C3N-02768	C3N-03430	C3N-01388	C3L-03388	C3L-01971	C3L-03628	C3L-01637	C3N-00198	C3N-02971	C3N-00249	C3N-03754	C3L-01453	C3L-02809	C3L-02109	C3L-01598	C3N-03173	C3N-03666	C3L-04479	C3N-01168	C3L-02606	C3N-02589	C3L-02463	C3L-03743	C3L-01051	C3N-02940	C3N-00436	C3N-01716	C3L-04475	C3N-00516	C3L-02115	C3L-04848	C3L-00277	C3N-02579	C3N-03780	C3L-02897	C3N-03439	C3L-01037	C3L-00819	C3N-04282	C3N-03086	C3L-03635	C3L-00625	C3N-03061	C3L-01662	C3L-01703	C3N-01383	C3N-02010	C3L-01124	C3N-00302	C3L-00102	C3L-04080	C3N-00518	C3L-02116	C3N-03665	C3L-04072	C3N-03840	C3L-00598	C3L-00928	C3N-03426	C3N-01714	C3N-03039	C3N-01165	C3N-01380	C3L-02604	C3N-02585	C3N-04119	C3L-04853	C3N-03007	C3N-02592	C3N-02944	C3L-03639	C3L-00017	C3L-01328	C3N-00514	C3N-02573	C3L-00622	C3N-00709	C3L-04027	C3L-02701	C3N-03190	C3L-01031	C3N-01012	C3N-01167	C3N-03839	C3N-01375	C3N-01381	C3L-02118	C3N-00511	C3L-02613	C3L-02899	C3N-03006
ENSG00000000003.15	21.7186128269703	22.0213566042199	22.1660998955275	21.6096695515087	20.3861659524361	22.6806651702759	22.683892677875	22.0044243154862	22.6322208127759	22.0765425467179	22.3291783577749	21.6722233337367	23.0627277191224	23.0863863694145	22.6260123682042	22.5331690162717	22.0540471553349	22.5448330407382	22.4238000907652	22.9060083804118	22.4976650654825	22.2228599542699	22.7464568066894	21.7877015646636	22.8516778471646	22.3319989490061	23.0260101142661	22.4802003908425	22.59522643918	22.570829042331	22.2677697601248	22.5337436192982	22.3684935444694	22.639422117736	22.4796206918476	22.6377517645632	21.7628643651437	22.7604682320061	22.5915860272845	23.3059942873726	22.8102250530394	22.7023398345141	21.9327209192947	23.9443765214609	21.8907657143447	22.3582492097808	22.0988245152221	22.9299713980186	22.4440935235797	21.6825828786859	21.016219774644	22.1172545920596	22.7711584396571	22.8941927243595	22.678205874166	22.6669265657308	22.8587629229859	23.0480042529352	21.2650106268561	21.6671715004783	22.8479948693045	22.7746134326578	22.1801319602684	21.8527373163289	22.7895397335135	22.0266951974376	21.2150732259743	21.5201948209266	22.4617268445919	22.9189537993353	20.9616247207262	22.1005407277356	21.8260239115894	22.4833324130062	22.6193130507875	22.5943776173487	22.0330206573835	21.5613434298533	22.0181554058089	23.2208223917326	23.0970193383357	22.4221511497071	21.8750581178094	22.3595096834764	22.6398788655579	21.9547202715202	22.7183340232012	22.0715298812883	22.873072177382	22.8374242432759	21.4354368781743	22.5265900763244	22.6908139651737	22.8905704316961	22.8323553998474	22.204218555696	22.2307016748558	22.7850540685291	22.0955648729457	23.3177450167441	22.9156021731998	21.8243569163539	21.6705273605141	22.485139834804	22.306766680655
ENSG00000000419.12	25.2337476404609	25.2249914195219	25.3774620898372	25.2869152336202	24.9408031563938	24.8606790285464	25.023372964472	24.8132705286174	25.066009748192	25.1937667860021	25.0053718976048	25.255969299574	25.6218979315186	24.8349642005698	25.0041824576698	25.526154399137	25.4702441412516	25.5115458572868	25.0680155513839	24.6918539018746	25.2240707055088	25.406835143402	25.0495510103783	25.4769953767661	25.5220655643514	25.0638722870038	25.1360905133583	25.3383082054331	25.1162196791626	25.2972884719284	25.2918642946053	25.0797083254482	25.2997249246401	25.0789484269148	25.3134850480597	25.2231724684055	25.0004241380994	25.1033466638705	24.5241687308509	24.4338068667555	24.7593379581178	24.7340260263798	25.1988391913797	25.3016231887312	25.2183902588495	25.1463764776278	25.1605156918728	25.5052302028314	25.0279796693551	25.129965789495	24.0194634934749	25.0973567687131	25.1488330649311	25.0950582819393	25.0850830961826	25.2335501464844	25.4717913192059	24.7799266413117	25.3478106144003	25.0199453384662	25.0718950532148	25.0515005791369	24.9139071720953	25.0500458825878	25.0731560661856	25.2410970544729	25.273460697074	24.9341141756314	25.3171992387132	24.9113378140743	24.9757424553451	25.1022502971056	25.4339647455411	25.0175195781294	25.2208720252936	24.2843292872745	25.4894684749064	25.3364645924759	24.6429021706374	25.1888118308828	24.9808526428011	25.1383908376045	25.2909495428601	25.3014088546396	25.3473927267523	25.0418128729108	24.8983262421366	24.9314073748667	24.9507278189385	24.7308643755566	24.8377792875939	25.2604081293523	25.3415571903286	25.5047779064924	25.4215638505717	25.0710222105149	25.7461008278742	25.0733902264873	25.1965298844686	25.1086566397694	25.3025507872513	25.4411369013545	25.2719228929394	24.9145371037829	25.2188958220371
ENSG00000000457.14	22.4033490907578	22.6891128624728	22.7742974509427	22.9032863979936	22.6569334534729	23.0385923326027	22.7836312517096	22.858639432133	22.4149955304687	22.0152835474847	22.5832709525514	21.8902255650203	21.7354874374201	22.3357960051231	23.0899525497723	22.7975828192185	22.8251324083671	23.8151211262023	22.5990113532525	21.8678434415189	22.8870547267684	22.6532170538209	22.613999404886	23.0633920826915	23.1105842092161	22.0837415064898	21.9680589791775	22.4725358550703	22.5061554063638	22.7052659786895	22.6602598616714	22.8593984450103	23.4281521097164	22.4898348171244	22.8848404329783	22.6610080424498	22.1959813398622	22.8910325593313	23.0928198168531	22.3100257642352	22.2000005551576	21.9932983090814	22.5516913021111	23.2184508655058	22.4953819468099	22.2403614588083	23.054684415537	22.8764134147634	22.7990063550196	23.2231297907497	22.4495869044576	22.7108589383523	22.6111138843503	23.3878299547523	22.8975385108112	22.5205120109118	22.4587856055147	22.5382127181099	22.7777232709316	22.9104150790406	22.7953958988884	22.8004706574089	22.7288208624122	22.1555496459893	22.9312516252626	22.5079933470203	22.6254059565551	23.0024393656629	22.6567283754229	22.9810129917686	22.3165935351727	22.5040396678864	22.5588993332346	22.5905255020159	23.3429976581876	21.830571085623	22.1912842289712	22.9022770310687	22.7120702112778	22.4258969139602	22.4170685601976	22.6098481718402	22.7326773252745	22.5513357897361	22.5812719466111	23.0027569801217	22.5213533015279	22.3030813256474	22.6095537879088	22.7303924354518	22.7257976714422	22.5130879611561	22.9858407710972	22.572894955639	22.5963389107781	22.2259075602331	22.3895977293002	23.1182463999786	22.3488156213093	22.9227358723369	22.7893428213801	22.9571571749117	22.2877450962515	22.4755851665536	22.8447974432022
ENSG00000000460.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.3988049444356	17.1934234064274	18.1683673603603	19.0603924710426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.3605126780002	14.8177366119506	14.5858631611294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.8746342896246	20.5984757355296	15.7258758606363	15.5568414330519	18.6684464226834	NA	NA	NA	NA	NA	NA	NA	NA	20.4257198583625	15.4450274952351	15.2240861293034	15.8914241758504	15.4659963995472	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000000938.13	23.5381714587692	23.5921659849824	21.9683297348906	22.1948456229576	21.9810637216132	21.5653557116404	21.7865331756697	21.9416810611496	21.7786703862434	21.5023958362976	21.6346559112945	21.9161876085205	23.8977671674482	22.1686355533633	21.8218797561266	23.0619869401184	22.3887697932981	22.2265858876155	21.5154168827937	22.6734089561507	NA	NA	NA	NA	22.7163931016594	21.1538414805966	20.7757389450692	20.7659286444397	23.8825403423053	21.1565537465749	21.5048959401369	21.9445153354967	23.3997871778727	22.3293272702437	21.6095686870445	NA	NA	NA	NA	22.8871999625809	22.5830585840642	21.2192923616633	21.5036827140799	21.4039435812516	NA	NA	NA	20.9626097287873	21.895202522844	22.0053985387437	20.8509425035979	21.9020541204695	20.9602297808111	20.0991755740474	20.7209396091468	22.8511935025526	23.28764599903	21.4876218553807	21.6466600977985	22.2277119931109	22.6602241695243	23.0825950720688	22.4396326500279	22.5827009553499	21.6633094013819	21.9715809487464	21.9331040177543	22.5789504687269	22.2059615749666	21.9175079566118	21.3056318660245	22.5791066779124	23.9835527833221	22.2540105351509	22.887345465539	23.6445567586386	21.8792863882762	22.1759157405679	20.7733164691351	22.8929572359672	23.882646610422	21.7190626047885	21.5789272687412	22.6060646443506	22.9834307625779	21.3873887812342	22.8517627192448	22.1859113864271	21.5908290613341	22.8616382465894	21.6715930217998	22.9413349162581	24.1415725709501	22.0009338049086	21.4855521861476	21.8107290348071	20.9469645371908	21.5839744177145	21.1088999474201	21.5483049922902	21.2993709728096	21.5026819431083	22.7948672920643	21.7827645813777	21.7448511721207
ENSG00000000971.16	29.023024320244	28.7439530906402	28.8803746981844	29.4198588251569	29.1076034960512	29.262677660396	28.3583656798283	29.0621582734987	28.9204910410232	28.4777045018511	29.1435834512174	29.8941376155129	29.6937051410448	28.7660730044934	28.5360139924318	29.6825913312392	29.6021490637286	28.4129432477353	28.6564691838789	28.6058215168265	28.4756922929843	29.3761798544046	29.6779683628742	28.9210342756267	28.9459994314523	29.8796073244557	29.0339850681428	30.1297889657114	28.7658702506153	28.8178950127568	29.2367497976444	28.866486803745	28.3499930064771	29.2726808775942	29.032796612865	28.4945864197527	29.4829020861384	28.6358638560482	28.4968144238194	28.9745969072423	29.332856398865	29.1130520989933	28.9663457587081	28.5689525154291	29.4420925346251	30.1222496295733	28.8126866748462	28.8844624532239	28.8805602340979	28.9917224378798	29.4676441909414	28.901750039506	29.1875265912335	29.0037764497963	29.325901880207	29.6126658546584	28.9676707848548	28.8497529400572	29.3436844136196	29.5540296884943	28.1472888049621	29.1967288165407	29.7904127652585	29.9521755774007	28.9020627503592	29.2530877605212	29.1207689661512	28.7719878194311	27.8524369614108	28.9953325804318	29.4039854405926	29.4493558439107	29.5697890926079	28.8787967814865	28.5179126039866	29.0904238685734	30.1059419039708	28.5955634316386	29.4435543939104	29.1848266283707	28.5705716441005	29.577848870988	29.5677608105302	29.0352708644059	29.1809570509561	29.5709849276252	29.1324993903312	29.2872385204317	28.9705111069999	28.8397871194771	29.1498911125315	28.7637633183399	29.4286875831468	28.5456014756026	28.5472804485466	28.6715101176642	28.576962983976	28.5554668366199	29.0848582037931	28.3720019835399	28.1929484127722	28.8365742422316	28.6893448437782	28.9894837459308	29.0543505232786
ENSG00000001036.14	25.1297942816779	24.091824998811	25.3143416399183	24.7183372151427	24.5380129952442	25.3615517575694	25.2451516178878	25.1858775223435	25.1856021991805	25.1232947782183	25.0591635819461	24.8970283334472	24.3392558341486	24.4053851052877	24.7559388960409	24.5335563907902	24.5848700031628	25.5087972749964	25.3454133005129	25.0364143378799	25.3037354730051	25.5091009654019	25.4932727934197	25.3107407496021	24.9933675409324	24.3293352240891	26.4327730173128	24.504285224872	24.9478048350791	25.1603623339566	25.7365101063457	24.7215720977257	25.0176184728936	25.2080186341687	24.6750857801683	24.6277029534233	25.2456666824709	25.0543447215065	25.0841645171553	25.2847926184083	24.5125696551464	24.9266856810477	24.8841940146593	25.2211842032481	24.8805246158064	24.8262180077141	24.7983651729341	25.3223933063663	25.0520207246034	24.5958042238226	24.031032891204	25.0075177580255	24.5716802214201	24.931846217055	25.1305213964504	24.791084002443	24.9958427451478	25.3936940663187	24.738909829104	24.5839976210623	24.9479848568757	24.7019223208149	25.1735060954661	24.3267834692173	25.3591021070636	25.328071397097	24.9116171612009	24.1503242970606	24.6190234608716	25.2950007099997	24.6042742216143	24.6682835413618	24.7088791338832	25.2126563196722	24.4746247922158	24.1498071325388	25.1400529736098	25.7578050079599	25.0354464531621	25.7174893289785	25.1981995885158	25.5530672214186	24.8189610541853	25.1378415480877	25.6184094328062	24.3290300527449	25.0485889426052	24.7853644635243	25.3302506060569	24.9536117212075	25.1437285791467	24.9811226308762	25.0377769289276	25.7456840728806	25.1686385820392	25.1798827743549	24.3676080366587	24.7094256100299	24.1690538805357	25.1655129276343	25.0336938810027	24.8739327575954	24.8215412468257	24.9861005464137	24.6432595562609
ENSG00000001084.13	25.2372297873894	25.5487029719101	25.3389735818192	25.2767399955803	25.2599274877009	25.2665368461928	25.0860571550742	25.2398615714106	25.1476101522061	25.0531462648961	25.8404600805752	25.028257134353	25.2152557366615	25.4689646468917	25.2367792829602	25.4168628511771	25.7060147824517	25.4208471315069	25.3831232278424	25.181375875346	25.0638641586035	24.9855060820906	25.1376316278261	25.0943733391009	25.3497813485591	25.0378908699662	25.1546456158972	25.0325860137384	25.2076044756166	25.3591201843418	24.8962199214216	25.4952880437701	25.2470485940742	25.041169413287	25.0717670269694	25.3721949570806	25.3261469125694	25.4355762487685	25.3570868678584	25.1355382969734	24.8892844699575	25.3223368100747	24.9669016829483	25.1577952306523	25.3481992440174	24.9090762933388	25.0222990291242	25.3977217661412	25.275136956946	25.9374412076438	24.840220721646	25.0970398011647	25.5353798940805	25.0048989376555	25.3528701920415	25.1017401356231	25.0006775869654	24.9956201647638	25.3971390522004	25.2531481342531	25.7541207297171	25.1928705817088	25.2273673143861	25.6262207476856	25.3730726437627	25.2059637102127	25.5291891046268	25.3564727516211	25.6664065318617	25.0709475915098	24.7931527530133	24.9703211785846	25.6770656248828	25.1877284221241	25.1222789654634	24.9895570031569	25.4268109732369	25.0735887034713	24.8713789093005	24.8888804088596	25.1837975378308	25.4883510898307	25.2754623094055	25.398049555891	24.9778467323648	25.4068088099058	25.0572866817723	25.2531342595079	25.0236598187151	24.7954639938525	25.2486703700183	25.1955668789587	24.8489539922588	25.2591450349271	25.0103980769858	25.6751562717321	25.4025713411437	25.1438017876998	24.9153541732378	24.7051745928219	25.0392246771343	25.0996919277603	25.0245739382363	25.0227580456884	25.2858971716401
ENSG00000001167.14	20.7722707707882	19.8000105167983	20.0802943179616	20.1093779252946	21.230212243056	20.8737157444196	20.2269196145273	20.6823091679727	20.2653508650699	20.5241949145022	20.1463750573713	20.7602384821954	19.724709738729	19.3883681200968	20.8624979100249	20.4408470573355	19.9642503618606	20.6858624014506	20.2190355618563	20.2738252245694	19.8430730863086	21.0772010696985	21.3445698954611	21.0780274209839	20.6816970767135	20.6522074926076	20.4989210571694	20.5032353733633	19.4454512367281	20.9669982227057	20.6180180790393	20.4751934364561	19.2800849027821	19.7893062624149	20.8140565959899	20.0371820000855	20.4717186007731	20.2055600597848	20.1529668439519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.3185767956921	20.7224423130925	20.5709846816519	20.3167036974558	20.725254325646	20.2897833196621	20.4627607849308	20.0092551765019	20.4393382466521	20.0672594763115	20.3824362729575	20.3517277617418	19.6927248825847	20.0409471431859	20.7400263791385	20.497411849104	20.3540280609177	20.5105227672906	20.5362777109014	20.4741918434225	20.0660297639893	NA	NA	NA	NA	NA	NA	NA	19.7354502452911	19.5142992981542	20.5691405337393	20.9269784455347	19.7075754651462	19.8193675161072	20.6827984718495	20.1213468365397	20.9057170821434	20.5206713937327	18.5992701662138	20.7045039786206	19.0863511518613	20.131824193298	20.4921173094468	20.0037384521959	20.5126176959619	20.5274585736061	19.5810032645615	19.7034540703671	20.863999506615	19.5321022425751	20.8229825677499	20.044971383623	21.1740042855998	21.1754652725228
ENSG00000001461.17	NA	NA	NA	NA	NA	21.1453344328465	21.3504117774091	21.0298785895209	21.4554099003203	21.9372042075494	21.3438550742803	21.1813920213484	21.288010448672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.3099024710422	21.1621195873607	21.0524369248492	21.3115014754339	21.6071522735793	20.7883385535082	21.0802754669688	21.3204091883458	21.4261433694498	21.5629426649783	20.7409431622815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
